DATE,GDP_US,Mortgage_rate_US,Homeownership_rate_US,Housing_price_index_US,Economic_con_index_US,EcoStatus
1/1/2000,12924.179,8.15,67.1,100.555,2.87,0
1/4/2000,13160.842,8.2,67.3,102.922,3.01,1
1/7/2000,13178.419,8.16,67.5,105.054,3.35,1
1/10/2000,13260.506,7.83,67.5,107.382,2.92,0
1/1/2001,13222.69,7.07,67.6,109.851,2.77,0
1/4/2001,13299.984,7.01,67.8,111.653,-0.06,0
1/7/2001,13244.784,7.19,67.9,113.494,-0.75,0
1/10/2001,13280.859,6.64,67.9,115.31,-1.21,0
1/1/2002,13397.002,7.14,67.9,117.146,0.02,1
1/4/2002,13478.152,7.13,67.8,119.615,1.24,1
1/7/2002,13538.072,6.57,67.9,122.889,1.39,1
1/10/2002,13559.032,6.01,68.2,125.734,2.01,1
1/1/2003,13634.253,5.85,68.1,128.462,1.11,0
1/4/2003,13751.543,5.79,68.2,130.887,1.03,0
1/7/2003,13985.073,5.4,68.3,133.777,1.87,1
1/10/2003,14145.645,5.77,68.5,137.534,3.13,1
1/1/2004,14221.147,5.87,68.7,141.65,3.53,1
1/4/2004,14329.523,5.52,69.4,146.594,3.02,0
1/7/2004,14464.984,6.21,68.9,151.338,3.27,1
1/10/2004,14609.876,5.82,69.1,155.753,3.16,0
1/1/2005,14771.602,5.77,69.2,161.293,2.95,0
1/4/2005,14839.782,5.93,68.7,167.506,3.99,1
1/7/2005,14972.054,5.62,68.7,172.86,4.11,1
1/10/2005,15066.597,5.98,68.9,178.03,3.48,0
1/1/2006,15267.026,6.21,68.6,182.325,3.63,1
1/4/2006,15302.705,6.43,68.8,184.332,2.73,0
1/7/2006,15326.368,6.79,68.9,183.073,2.47,0
1/10/2006,15456.928,6.3,68.8,183.205,2.28,0
1/1/2007,15493.328,6.18,68.5,184.52,1.89,0
1/4/2007,15582.085,6.17,68.3,183.014,1.24,0
1/7/2007,15666.738,6.63,68,179.118,1.46,1
1/10/2007,15761.967,6.37,67.8,176.633,0.47,0
1/1/2008,15671.383,6.07,67.9,173.137,-0.09,0
1/4/2008,15752.308,5.88,68.1,168.343,-0.49,0
1/7/2008,15667.032,6.35,67.7,163.577,-1.81,0
1/10/2008,15328.027,6.1,67.5,158.333,-4.44,0
1/1/2009,15155.94,5.01,67.4,151.513,-7.1,0
1/4/2009,15134.117,4.78,67.4,147.956,-5.64,1
1/7/2009,15189.222,5.32,67.4,148.412,-3.65,1
1/10/2009,15356.058,4.94,67.2,147.853,-0.5,1
1/1/2010,15415.145,5.09,67.2,147.395,0.85,1
1/4/2010,15557.277,5.08,66.9,146.401,2.59,1
1/7/2010,15671.967,4.58,66.7,144.987,2.06,0
1/10/2010,15750.625,4.27,66.5,142.526,2.54,1
1/1/2011,15712.754,4.77,66.5,141.525,3.05,1
1/4/2011,15825.096,4.87,66,140.006,2.58,0
1/7/2011,15820.7,4.6,66.1,139.726,3.42,1
1/10/2011,16004.107,3.94,65.9,137.946,3.24,0
1/1/2012,16129.418,3.91,65.6,136.604,4.6,1
1/4/2012,16198.807,3.98,65.6,139.156,5.07,1
1/7/2012,16220.667,3.62,65.4,141.664,4.22,0
1/10/2012,16239.138,3.36,65.3,143.604,3.92,0
1/1/2013,16382.964,3.34,65.2,146.838,3.45,0
1/4/2013,16403.18,3.54,65.1,151.523,3.95,1
1/7/2013,16531.685,4.29,65.2,155.613,4.1,1
1/10/2013,16663.649,4.22,65.1,159.242,4.12,1
1/1/2014,16616.54,4.53,64.9,161.958,3.36,0
1/4/2014,16841.475,4.41,64.8,163.42,3.04,0
1/7/2014,17047.098,4.12,64.3,164.577,3.16,0
1/10/2014,17143.038,4.19,63.9,166.651,3.7,1
1/1/2015,17277.58,3.73,63.8,168.707,4.25,1
1/4/2015,17405.669,3.7,63.6,170.354,4.11,0
1/7/2015,17463.222,4.08,63.6,172.124,5.04,1
1/10/2015,17468.902,3.85,63.7,174.815,4.54,0
1/1/2016,17556.839,3.97,63.5,177.364,4.15,0
1/4/2016,17639.417,3.58,63.1,178.845,3.67,0
1/7/2016,17735.074,3.41,63.4,180.835,2.94,0
1/10/2016,17824.231,3.42,63.5,183.794,2.88,0
1/1/2017,17925.256,4.2,63.7,186.934,2.33,0
1/4/2017,18021.048,4.1,63.9,188.932,3.21,1
1/7/2017,18163.558,3.96,63.9,191.46,3.28,1
1/10/2017,18322.464,3.85,64,194.85,3.55,1
1/1/2018,18438.254,3.95,64.3,198.414,3.17,0
1/4/2018,18598.135,4.4,64.5,201.049,2.52,0
1/7/2018,18732.72,4.52,64.4,202.953,2.67,1
1/10/2018,18783.548,4.71,64.5,205.15,2.43,0
1/1/2019,18927.281,4.51,64.3,206.592,2.93,1
1/4/2019,19021.86,4.08,64.3,208.244,3.95,1
1/7/2019,19121.112,3.75,64.7,209.42,3.62,0
1/10/2019,19221.97,3.65,64.8,211.761,3.41,0
